


 
  


 
 
Atenção:
Algumas emissoras podem mudar jogos da grade sem aviso prévio. Pedimos a compreensão caso isso ocorra. Apenas disponibilizamos a grade lançada por elas.

×
Dispensar alerta



 🕗 18:00	 -  Campeonato Paulista	  Santo André x Água Santa	  📺 PAULISTÃO PLAY; PREMIERE	   
 🕗 19:00	 -  Campeonato Gaúcho	  Ypiranga x São José	  📺 GLOBO ESPORTE	   
 🕗 19:00	 -  Campeonato Catarinense	  Chapecoense x Camboriú	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 19:00	 -  Campeonato Gaúcho	  Avenida x Aimoré	  📺 GLOBO ESPORTE   
 🕗 19:15	 -  Campeonato Paranaense	  Foz do Iguaçu x Londrina	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 19:30	 -  Campeonato Paulista	  Palmeiras x Inter de Limeira	  📺 PAULISTÃO PLAY; PREMIERE	   
 🕗 19:30	 -  Campeonato Gaúcho	  Juventude x Grêmio	  📺 PREMIERE	   
 🕗 19:30	 -  Campeonato Sul-Americano Sub-20	  Uruguai x Paraguai	  📺 SPORTV	   
 🕗 20:00	 -  Campeonato Paraense	  Paysandu x Itupiranga	  📺 TV CULTURA (PA)   
 🕗 20:00	 -  Campeonato Alagoano	  CRB x CSE	  📺 DAZN	   
 🕗 20:00	 -  Campeonato Mato-Grossense	  Misto x Nova Mutum	  📺 ELEVEN SPORTS	GLOBO; SPORTV. GLOBO ESPORTE; GLOBOPLAY; CANAL DO CASIMIRO; FIFA +	  
 🕗 20:30	 -  Campeonato Paraibano	  Queimadense x Sousa	  📺 JORNAL DA PARAÍBA (Internet)	   
 🕗 21:00	 -  Campeonato Catarinense	  Atlético x Joinville	  📺 NSPORTS; ONEFOOTBALL	   
 🕗 21:00	 -  Copa Libertadores da América	  Boston River x Zamora	  📺 PARAMOUNT+	   
 🕗 21:30	 -  Campeonato Paulista	  São Bernardo FC x Corinthians	  📺 TNT; HBO MAX; ESTÁDIO TNT SPORTS   
 🕗 22:00	 -  Campeonato Sul-Americano Sub-20	  Colômbia x Brasil	  📺 SPORTV	    
